activation,final_val_acc,final_val_loss
relu,0.644,0.6364787017424318
sigmoid,0.6155,0.6647965059643856
tanh,0.6845,0.6126899318499214
gelu,0.6525,0.6332478350555081
selu,0.707,0.5816146133676303
